Brand,Generic Category,Category,Sub Category,SKU,Product Name,Product Variant Name,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT,Media URLs,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW2R3ZM/A,USB-C to Lightning,USB-C to Lightning Cable (2 m),,,,,,,"2,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW493ZM/A,60W USB-C Charge,60W USB-C Charge Cable (1m),,,,,,,"1,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW5H3ZM/A,Thunderbolt 4 (USB‑C),Thunderbolt 4 (USB‑C) Pro Cable (3 m),,,,,,,"15,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW5J3ZM/A,Thunderbolt 4 (USB‑C),Thunderbolt 4 (USB‑C) Pro Cable (1.8 m),,,,,,,"12,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW5L3ZM/A,USB-C to USB,USB-C to USB Adapter,,,,,,,"1,900.00",https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/USB-C%20to%20USB%20Adapter/3.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/USB-C%20to%20USB%20Adapter/2.webp;https://gurucodes-data.pages.dev/websites/conquer/iPhone%20Accessories/USB-C%20to%20USB%20Adapter/1.webp,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW5M3ZM/A,USB-C Digital AV,USB-C Digital AV Multiport Adapter,,,,,,,"6,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW613ZM/A,USB-C to MagSafe,USB-C to MagSafe 3 Cable (2m) - Silver,,,,,,,"4,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW653ZM/A,USB-C to SD,USB-C to SD Card Reader,,,,,,,"4,000.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MW6A3ZM/A,Apple Watch Magnetic,Apple Watch Magnetic Charging Cable (1 m),,,,,,,"2,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPad,MWML3ZM/A,Apple Pencil,USB-C to Apple Pencil Adapter,,,,,,,900,,,,,,,,,,,,,,,,,,,,
