BRAND,CATEGORY,SUB CATEGORY,SKU,Description,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT
APPLE,ACCESSORIES,Apple Mac Accessories,MYJK3HN/A,Apple Studio Display - Nano-Texture Glass - Tilt-Adjustable Stand,,,,,,,"189,900.00"
APPLE,ACCESSORIES,Power & Cables,MYQT3ZM/A,240W USB-C Charge Cable (2 m),,,,,,,"2,900.00"
APPLE,ACCESSORIES,Apple iPad Accessories,MYQW3HN/A,Apple Pencil (1st Generation),,,,,,,"9,500.00"
APPLE,ACCESSORIES,Apple iPhone Accessories,MYQY3ZM/A,EarPods (USB-C),,,,,,,"2,000.00"
APPLE,APPLE CARE,HomePod APPLE CARE,S6446HN/A,AppleCare+ for HomePod,,,,,,,"3,900.00"
APPLE,APPLE CARE,APPLE TV APPLE CARE,S9634HN/A,AppleCare+ for Apple TV,,,,,,,"2,900.00"
APPLE,APPLE CARE,iPad AppleCare,S8402HN/A,AppleCare+ for 10.5-inch iPad Pro,,,,,,,"15,900.00"
APPLE,APPLE CARE,iPad AppleCare,S8403HN/A,AppleCare+ for 11-inch iPad Pro,,,,,,,"12,900.00"
APPLE,APPLE CARE,iPad AppleCare,S8404HN/A,AppleCare+ for 12.9-inch iPad Pro (4th gen. & earlier),,,,,,,"12,900.00"
APPLE,APPLE CARE,iPad AppleCare,S8622HN/A,AppleCare+ for iPad Air (4th generation),,,,,,,"6,900.00"
APPLE,APPLE CARE,iPad AppleCare,S9865HN/A,AppleCare+ for 12.9-inch iPad Pro (5th gen.),,,,,,,"15,900.00"
APPLE,APPLE CARE,iPad AppleCare,SCLH2HN/A,AppleCare+ for iPad mini (6th generation),,,,,,,"6,900.00"
APPLE,APPLE CARE,iPad AppleCare,SCM32HN/A,AppleCare+ for 10.2-inch iPad (9th generation),,,,,,,"6,900.00"
APPLE,APPLE CARE,iPad AppleCare,SEJD2HN/A,AppleCare+ for iPad Air (5th generation),,,,,,,"7,900.00"
APPLE,APPLE CARE,iPad AppleCare,SGFC2HN/A,AppleCare+ for iPad (10th generation),,,,,,,"6,900.00"
APPLE,APPLE CARE,iPad AppleCare,SGG22HN/A,AppleCare+ for iPad Pro 11-inch (4th generation),,,,,,,"12,900.00"
APPLE,APPLE CARE,iPad AppleCare,SGGY2HN/A,AppleCare+ for iPad Pro 12.9-inch (6th generation),,,,,,,"15,900.00"
APPLE,APPLE CARE,iPad AppleCare,SM2A2HN/A,AppleCare+ for iPad Air 13-inch (M2),,,,,,,"9,900.00"
APPLE,APPLE CARE,iPad AppleCare,SM2V2HN/A,AppleCare+ for iPad Air 11-inch (M2),,,,,,,"7,900.00"
APPLE,APPLE CARE,iPad AppleCare,SM2W2HN/A,AppleCare+ for iPad Pro 13-inch (M4),,,,,,,"17,900.00"
APPLE,APPLE CARE,iPad AppleCare,SM2X2HN/A,AppleCare+ for iPad Pro 11-inch (M4),,,,,,,"15,900.00"
APPLE,APPLE CARE,iPad AppleCare,SNGN2HN/A,AppleCare+ for iPad mini (A17 Pro),,,,,,,"6,900.00"
APPLE,APPLE CARE,iPad AppleCare,SUYD2HN/A,AppleCare+ for iPad (A16),,,,,,,"6,900.00"
APPLE,APPLE CARE,iPad AppleCare,SV072HN/A,AppleCare+ for iPad Air 11-inch (M3),,,,,,,"7,900.00"
APPLE,APPLE CARE,iPad AppleCare,SV172HN/A,AppleCare+ for iPad Air 13-inch (M3),,,,,,,"9,900.00"
APPLE,APPLE CARE,iPhone AppleCare,S8406HN/A,AppleCare+ for iPhone 11,,,,,,,"14,900.00"
APPLE,APPLE CARE,iPhone AppleCare,S8945HN/A,AppleCare+ for iPhone 12,,,,,,,"14,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SCMP2HN/A,AppleCare+ for iPhone 13 mini,,,,,,,"14,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SCMQ2HN/A,AppleCare+ for iPhone 13,,,,,,,"14,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SCMR2HN/A,AppleCare+ for iPhone 13 Pro,,,,,,,"20,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SCMT2HN/A,AppleCare+ for iPhone 13 Pro Max,,,,,,,"20,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SEH92HN/A,AppleCare+ for iPhone SE (3rd generation),,,,,,,"7,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SFYT2HN/A,AppleCare+ for iPhone 14 Plus,,,,,,,"17,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SFYU2HN/A,AppleCare+ for iPhone 14,,,,,,,"14,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SFYV2HN/A,AppleCare+ for iPhone 14 Pro,,,,,,,"20,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SFYW2HN/A,AppleCare+ for iPhone 14 Pro Max,,,,,,,"20,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SJRQ2HN/A,AppleCare+ for iPhone 15,,,,,,,"14,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SJT42HN/A,AppleCare+ for iPhone 15 Plus,,,,,,,"17,900.00"
APPLE,APPLE CARE,iPhone AppleCare,SJT92HN/A,AppleCare+ for iPhone 15 Pro,,,,,,,"20,900.00"
